TRIP_ID,LATITUDE,LONGITUDE
T1,41.146945,-8.58583325
T2,41.1637473042,-8.60195108844
T3,41.1673756154,-8.57475242308
T4,41.1410251466,-8.6144703314
T5,41.147866,-8.6199695
T6,41.17199256,-8.62627842
T7,41.1571737,-8.58295665
T8,41.1852060212,-8.5785499185
T9,41.125826547,-8.60546701656
T10,41.1987572069,-8.58740446552
T11,41.1687195,-8.589402
T12,41.1497946,-8.5960551
T13,41.157699375,-8.585685375
T14,41.2372587857,-8.66953478571
T15,41.1432309,-8.60974855714
T16,41.2116765,-8.653503
T17,41.1551800534,-8.62900641649
T18,41.1562835364,-8.62807907871
T19,41.1648267308,-8.58902657692
T20,41.1611678626,-8.64074937105
T21,41.1488077567,-8.58575497451
T22,41.1355685625,-8.6111161875
T23,41.1564233666,-8.62906084038
T24,41.1485806238,-8.58581331159
T25,41.1472650857,-8.64035382857
T26,41.164839,-8.6170185
T27,41.1625948434,-8.59354418103
T28,41.1494031429,-8.58816428571
T29,41.1460863738,-8.61112832738
T30,41.1655066071,-8.58248903571
T31,41.164425,-8.581944
T32,41.15515005,-8.60978258804
T33,41.1565853571,-8.62471414286
T34,41.1746357944,-8.5673576916
T35,41.1440728806,-8.61693282885
T36,41.1561927,-8.6046405
T37,41.1803539661,-8.69240790562
T38,41.1544664206,-8.6307783233
T39,41.148589024,-8.58590382022
T40,41.1405739026,-8.61597814175
T41,41.1801559153,-8.60409866224
T42,41.1707494054,-8.58648693243
T43,41.1459392203,-8.61342179018
T44,41.185482375,-8.594581875
T45,41.1461139388,-8.61763551918
T46,41.1506724107,-8.59405644643
T47,41.1517099031,-8.61780020394
T48,41.158611,-8.630244
T49,41.1678005385,-8.55232315385
T50,41.14917525,-8.62549125
T51,41.1435570526,-8.60224865789
T52,41.1459568996,-8.61079287086
T53,41.1585709725,-8.598881115
T54,41.17081625,-8.58633216667
T55,41.1601725,-8.60066048571
T56,41.1641585477,-8.60633928268
T57,41.18841945,-8.59326885
T58,41.16011175,-8.63126775
T59,41.1677385,-8.6399355
T60,41.1589293317,-8.60466574038
T61,41.1494911587,-8.59653692308
T62,41.143749,-8.582112
T63,41.167773,-8.591967
T64,41.1807868018,-8.5828037511
T65,41.1376506,-8.60130675
T66,41.1874965,-8.5942395
T67,41.145598875,-8.602286125
T68,41.1644313,-8.6322753
T69,41.1453160105,-8.61083702268
T70,41.156298225,-8.624988675
T71,41.554737,-8.37468
T72,41.3313858,-8.729028
T73,41.1508431818,-8.59357464545
T74,41.1677531053,-8.57063522368
T75,41.1576750801,-8.62718333432
T76,41.1693240411,-8.62560270797
T77,41.1460797665,-8.61148201504
T78,41.1546640734,-8.64810265883
T79,41.1849745714,-8.59688314286
T80,41.1725715,-8.6554065
T81,41.1574491263,-8.62583943129
T82,41.16945375,-8.6395336875
T83,41.1616556786,-8.65144232143
T84,41.180580375,-8.58147825
T85,41.1490671545,-8.62539443182
T86,41.148823393,-8.58419279481
T87,41.2198067571,-8.62697751429
T88,41.1654776285,-8.58877762635
T90,41.1461080435,-8.63116473913
T91,41.1564151875,-8.6291025
T92,41.2326730588,-8.66679935294
T93,41.1621136714,-8.65224398571
T94,41.1545236875,-8.6448193125
T95,41.15156875,-8.60593725
T96,41.1862872857,-8.68077823661
T98,41.1588238657,-8.62996538967
T99,41.153505,-8.6079575
T100,41.1775604588,-8.66347327335
T101,41.1479001987,-8.6112219769
T102,41.1442738548,-8.60565683697
T103,41.1572792834,-8.62824459996
T104,41.1809945625,-8.530051375
T107,41.1567215625,-8.582761125
T109,41.1609601441,-8.6042270198
T110,41.1476383347,-8.62198589387
T111,41.1586401522,-8.66512095652
T112,41.1514746136,-8.60217340909
T113,41.1656097712,-8.59849491193
T114,41.1792435,-8.601656
T115,41.1324936923,-8.62700492308
T116,41.24568825,-8.62068375
T117,41.194121175,-8.50678142143
T118,41.1832401429,-8.60321995714
T119,41.177065,-8.59251325
T120,41.1815796136,-8.62203334091
T121,41.13755715,-8.6013819
T122,41.1628384038,-8.62210234615
T123,41.1612943846,-8.67075767308
T124,41.1642862336,-8.63755916975
T125,41.1544236938,-8.64403936875
T126,41.1580925662,-8.6370325168
T127,41.1556572163,-8.65361918923
T128,41.1685232017,-8.60056422826
T129,41.1648854616,-8.63224475717
T130,41.1481503,-8.62278975
T131,41.17338,-7.594785
T132,41.1458256857,-8.61475474909
T133,41.1484217826,-8.62473940217
T134,41.1739245,-8.67298725
T135,41.1643144615,-8.60771919231
T136,41.1509962982,-8.60574602396
T137,41.1529666333,-8.62637903333
T138,41.06979855,-8.57776455
T139,41.1748779545,-8.58432609091
T140,41.189559,-8.580525
T141,41.131373625,-8.598166875
T142,41.1478576059,-8.61146962941
T143,41.1644437296,-8.62717820589
T144,41.1518289798,-8.61027724495
T145,41.160333,-8.572515
T146,41.1649655,-8.639652
T147,41.1476410279,-8.62204828906
T148,41.1669937212,-8.59410752885
T149,41.20408125,-8.649855375
T151,41.1572245929,-8.62512887143
T152,41.1276735,-8.6356965
T153,41.1692214986,-8.62486367786
T154,41.1624003103,-8.60862375931
T155,41.1821415618,-8.63772737637
T156,41.1483046364,-8.62467536364
T157,41.1707011,-8.5689105
T158,41.1497231538,-8.59691215385
T159,41.1540010973,-8.62875546733
T160,41.17359375,-8.653605
T161,41.1489723098,-8.59886717748
T162,41.1632542044,-8.62494326351
T163,41.1478542044,-8.62273709113
T164,41.158371867,-8.63119534515
T166,41.1538266964,-8.64146603571
T167,41.1596068833,-8.59587248333
T168,41.1668433,-8.60653845
T169,41.1673614231,-8.59022688462
T170,41.1541083411,-8.65006252789
T171,41.1556821577,-8.65342507435
T172,41.1504343663,-8.62105918825
T173,41.17762125,-8.6548075
T174,41.19102225,-8.59325925
T175,41.161732125,-8.6515008125
T176,41.1589477244,-8.60453211538
T177,41.147878309,-8.62281511121
T178,41.1760750151,-8.66126798922
T179,41.1487829504,-8.58578496584
T180,41.1473168652,-8.6113502065
T181,41.1737906786,-8.60599467857
T182,41.1611813881,-8.60414399805
T183,41.1781854907,-8.6139815812
T184,41.1543002521,-8.64987319548
T185,41.1713395096,-8.67189530769
T186,41.1647020652,-8.64132806296
T187,41.1508379134,-8.57147168824
T188,41.1592767162,-8.58151886873
T189,41.1447143976,-8.61151709039
T190,41.1570077143,-8.62365214286
T191,41.1470679718,-8.60682921522
T192,41.1513356234,-8.62899297517
T193,41.1474789029,-8.60844832353
T194,41.1480044211,-8.61619243421
T195,41.1491916358,-8.61051878701
T196,41.1451979247,-8.61120019112
T197,41.1625909286,-8.64845485714
T198,41.1582901662,-8.6314754337
T199,41.1553715783,-8.59524748578
T200,41.1611891667,-8.62676033333
T201,41.1524973959,-8.62675995548
T202,41.1511742624,-8.60726109616
T203,41.1745056276,-8.60044028684
T204,41.1562755,-8.611506
T205,41.1584072143,-8.60152130357
T206,41.1668745,-8.59735151724
T207,41.1495173829,-8.60434945779
T208,41.1953254461,-8.60621486447
T209,41.1551258515,-8.63034520602
T210,41.16717623,-8.64957152758
T211,41.1758442,-8.5935768
T212,41.1485205,-8.578767
T213,41.1100065,-8.62666575
T214,41.1532918125,-8.6393825625
T215,41.1521758217,-8.60699264628
T216,41.15799,-8.579763
T217,41.1650763859,-8.638846603
T218,41.1452382847,-8.61267053713
T219,41.1527115,-8.651763
T220,41.2326216,-8.6264694
T221,41.148339,-8.62450725
