"TRIP_ID","LATITUDE","LONGITUDE"
"T1",41.146504,-8.611317
"T2",41.146504,-8.611317
"T3",41.146504,-8.611317
"T4",41.146504,-8.611317
"T5",41.146504,-8.611317
"T6",41.146504,-8.611317
"T7",41.146504,-8.611317
"T8",41.146504,-8.611317
"T9",41.146504,-8.611317
"T10",41.146504,-8.611317
"T11",41.146504,-8.611317
"T12",41.146504,-8.611317
"T13",41.146504,-8.611317
"T14",41.146504,-8.611317
"T15",41.146504,-8.611317
"T16",41.146504,-8.611317
"T17",41.146504,-8.611317
"T18",41.146504,-8.611317
"T19",41.146504,-8.611317
"T20",41.146504,-8.611317
"T21",41.146504,-8.611317
"T22",41.146504,-8.611317
"T23",41.146504,-8.611317
"T24",41.146504,-8.611317
"T25",41.146504,-8.611317
"T26",41.146504,-8.611317
"T27",41.146504,-8.611317
"T28",41.146504,-8.611317
"T29",41.146504,-8.611317
"T30",41.146504,-8.611317
"T31",41.146504,-8.611317
"T32",41.146504,-8.611317
"T33",41.146504,-8.611317
"T34",41.146504,-8.611317
"T35",41.146504,-8.611317
"T36",41.146504,-8.611317
"T37",41.146504,-8.611317
"T38",41.146504,-8.611317
"T39",41.146504,-8.611317
"T40",41.146504,-8.611317
"T41",41.146504,-8.611317
"T42",41.146504,-8.611317
"T43",41.146504,-8.611317
"T44",41.146504,-8.611317
"T45",41.146504,-8.611317
"T46",41.146504,-8.611317
"T47",41.146504,-8.611317
"T48",41.146504,-8.611317
"T49",41.146504,-8.611317
"T50",41.146504,-8.611317
"T51",41.146504,-8.611317
"T52",41.146504,-8.611317
"T53",41.146504,-8.611317
"T54",41.146504,-8.611317
"T55",41.146504,-8.611317
"T56",41.146504,-8.611317
"T57",41.146504,-8.611317
"T58",41.146504,-8.611317
"T59",41.146504,-8.611317
"T60",41.146504,-8.611317
"T61",41.146504,-8.611317
"T62",41.146504,-8.611317
"T63",41.146504,-8.611317
"T64",41.146504,-8.611317
"T65",41.146504,-8.611317
"T66",41.146504,-8.611317
"T67",41.146504,-8.611317
"T68",41.146504,-8.611317
"T69",41.146504,-8.611317
"T70",41.146504,-8.611317
"T71",41.146504,-8.611317
"T72",41.146504,-8.611317
"T73",41.146504,-8.611317
"T74",41.146504,-8.611317
"T75",41.146504,-8.611317
"T76",41.146504,-8.611317
"T77",41.146504,-8.611317
"T78",41.146504,-8.611317
"T79",41.146504,-8.611317
"T80",41.146504,-8.611317
"T81",41.146504,-8.611317
"T82",41.146504,-8.611317
"T83",41.146504,-8.611317
"T84",41.146504,-8.611317
"T85",41.146504,-8.611317
"T86",41.146504,-8.611317
"T87",41.146504,-8.611317
"T88",41.146504,-8.611317
"T90",41.146504,-8.611317
"T91",41.146504,-8.611317
"T92",41.146504,-8.611317
"T93",41.146504,-8.611317
"T94",41.146504,-8.611317
"T95",41.146504,-8.611317
"T96",41.146504,-8.611317
"T98",41.146504,-8.611317
"T99",41.146504,-8.611317
"T100",41.146504,-8.611317
"T101",41.146504,-8.611317
"T102",41.146504,-8.611317
