TRIP_ID,LATITUDE,LONGITUDE
T1,41.14622145,-8.584214344
T2,41.16371643,-8.601790851
T3,41.16761459,-8.57488849
T4,41.14096748,-8.614306212
T5,41.15178505,-8.617097516
T6,41.17172067,-8.62618883
T7,41.15434724,-8.582027322
T8,41.18552892,-8.578767716
T9,41.12580621,-8.605462183
T10,41.19934324,-8.587350196
T11,41.16891528,-8.589146842
T12,41.14927536,-8.596894602
T13,41.1577806,-8.586063514
T14,41.23792522,-8.669334098
T15,41.14318139,-8.609131829
T16,41.21144818,-8.65270548
T17,41.15516356,-8.628992808
T18,41.15628532,-8.628050534
T19,41.16378501,-8.589754045
T20,41.1605377,-8.641312245
T21,41.14878369,-8.585751201
T22,41.13588566,-8.611005818
T23,41.15663856,-8.628797336
T24,41.14872934,-8.585752374
T25,41.14841027,-8.640910383
T26,41.17292835,-8.610763813
T27,41.16297197,-8.599634762
T28,41.16224486,-8.588953479
T29,41.14614726,-8.611186102
T30,41.16263988,-8.581167617
T31,41.16370261,-8.581129044
T32,41.15509023,-8.609941023
T33,41.16493219,-8.629768649
T34,41.16837476,-8.582467335
T35,41.1441342,-8.616901595
T36,41.15503064,-8.604758685
T37,41.18024059,-8.69230773
T38,41.15456671,-8.63073477
T39,41.14854999,-8.585944924
T40,41.14055802,-8.615973842
T41,41.1801676,-8.604180428
T42,41.17037963,-8.585770503
T43,41.14592449,-8.61331984
T44,41.18767372,-8.593909663
T45,41.14611692,-8.617650977
T46,41.14983657,-8.594253226
T47,41.15170974,-8.617792266
T48,41.16218129,-8.632710686
T49,41.16806243,-8.552726351
T50,41.15010659,-8.625745773
T51,41.14324485,-8.602149081
T52,41.14600313,-8.610728747
T53,41.15878114,-8.598788707
T54,41.17123691,-8.586126606
T55,41.15962123,-8.600638265
T56,41.16431986,-8.606315459
T57,41.19057818,-8.592706942
T58,41.16211247,-8.632636706
T59,41.16573393,-8.642184258
T60,41.15912914,-8.604573759
T61,41.14932327,-8.596855329
T62,41.14396497,-8.581464934
T63,41.16794165,-8.589432996
T64,41.1810028,-8.583254312
T65,41.13750462,-8.602393468
T66,41.18628152,-8.593622623
T67,41.14605562,-8.602075647
T68,41.16220657,-8.627411636
T69,41.14520004,-8.610925946
T70,41.15717274,-8.624696201
T71,41.179689,-8.624304
T72,41.32378411,-8.723387164
T73,41.1507005,-8.594204812
T74,41.16880518,-8.570794525
T75,41.15760082,-8.627040285
T76,41.1694261,-8.625637553
T77,41.14081401,-8.609175645
T78,41.15474438,-8.64805727
T79,41.18652653,-8.597598392
T80,41.17148121,-8.656348707
T81,41.15742863,-8.625850857
T82,41.17123366,-8.634058339
T83,41.16194842,-8.65258319
T84,41.18084568,-8.578391331
T85,41.14886275,-8.62513459
T86,41.14880857,-8.584197314
T87,41.22083682,-8.626904598
T88,41.1653924,-8.588782681
T90,41.14637309,-8.631551876
T91,41.15693973,-8.628790648
T92,41.22938051,-8.668062827
T93,41.16193547,-8.652294617
T94,41.15458352,-8.643868095
T95,41.15147841,-8.606076884
T96,41.151303,-8.609589
T98,41.15908253,-8.630273461
T99,41.1539544,-8.610746929
T100,41.17759262,-8.663465735
T101,41.14729024,-8.611374241
T102,41.1444064,-8.605905401
T103,41.1572944,-8.628220852
T104,41.18150249,-8.530266662
T107,41.15748627,-8.582665179
T109,41.16085764,-8.604109706
T110,41.14758133,-8.621881376
T111,41.15842974,-8.665138332
T112,41.1474591,-8.601291085
T113,41.16580981,-8.598142176
T114,41.17883919,-8.599844696
T115,41.13229129,-8.626796185
T116,41.24529215,-8.620899459
T117,41.18966151,-8.48274163
T118,41.18369948,-8.603729542
T119,41.17703137,-8.59251175
T120,41.18163434,-8.62182346
T121,41.13768922,-8.60167324
T122,41.16280217,-8.621601205
T123,41.15969661,-8.670385026
T124,41.16453381,-8.637806592
T125,41.15367245,-8.642712858
T126,41.15810365,-8.637046942
T127,41.15654744,-8.653343004
T128,41.16846695,-8.600559821
T129,41.17027551,-8.648197377
T130,41.14822628,-8.622726479
T131,41.168538,-8.54694
T132,41.14605661,-8.614215273
T133,41.14837393,-8.624665179
T134,41.17376104,-8.67317972
T135,41.16418007,-8.608614577
T136,41.15099603,-8.605138201
T137,41.15300755,-8.626391036
T138,41.10091703,-8.571114331
T139,41.17498083,-8.584282067
T140,41.18896416,-8.580598912
T141,41.13282652,-8.599145615
T142,41.1477586,-8.611494958
T143,41.1643952,-8.627906908
T144,41.15179744,-8.610433558
T145,41.16147145,-8.572988828
T146,41.16460343,-8.639834573
T147,41.14757965,-8.622175323
T148,41.16819279,-8.593083815
T149,41.20240689,-8.646583607
T151,41.157294,-8.625184141
T152,41.12847235,-8.63640401
T153,41.1689934,-8.624651775
T154,41.1624159,-8.608561507
T155,41.18227862,-8.638187132
T156,41.14828326,-8.624431364
T157,41.1711445,-8.571429475
T158,41.14530716,-8.616511867
T159,41.15427077,-8.628754777
T160,41.17393758,-8.653810054
T161,41.14898327,-8.598870291
T162,41.16320557,-8.624789974
T163,41.14789423,-8.622995174
T164,41.1586366,-8.632036326
T166,41.15366436,-8.640891737
T167,41.15941856,-8.595487892
T168,41.16803558,-8.606579472
T169,41.16852952,-8.589951889
T170,41.15414094,-8.650016385
T171,41.15570776,-8.653501332
T172,41.15060847,-8.621079637
T173,41.17543369,-8.652697147
T174,41.148477,-8.585649
T175,41.1615368,-8.651326534
T176,41.15884149,-8.604591929
T177,41.14792122,-8.623285933
T178,41.17593856,-8.661513001
T179,41.14880711,-8.585767675
T180,41.14703482,-8.61231736
T181,41.17474258,-8.607677163
T182,41.16483511,-8.597787298
T183,41.17818467,-8.614003025
T184,41.1542645,-8.649913576
T185,41.17181131,-8.672651223
T186,41.16411774,-8.640079401
T187,41.15094888,-8.571457443
T188,41.15915292,-8.58207277
T189,41.1442804,-8.611535364
T190,41.15728348,-8.624761408
T191,41.1470566,-8.607398322
T192,41.15111139,-8.629163249
T193,41.14884187,-8.607878468
T194,41.14726595,-8.618937852
T195,41.15086864,-8.610128007
T196,41.14468347,-8.611680898
T197,41.16243015,-8.649300498
T198,41.15851065,-8.631493803
T199,41.15541623,-8.595149433
T200,41.15822085,-8.638594333
T201,41.15231024,-8.626720208
T202,41.15103031,-8.607239623
T203,41.17477646,-8.599648184
T204,41.15595944,-8.611909659
T205,41.1585015,-8.601414827
T206,41.161545,-8.595108
T207,41.14949912,-8.604359947
T208,41.184477,-8.605854
T209,41.15500588,-8.630457279
T210,41.16709822,-8.649582646
T211,41.17425461,-8.594714721
T212,41.14880412,-8.578613751
T213,41.10918102,-8.627172049
T214,41.15352426,-8.640357137
T215,41.15198948,-8.607033811
T216,41.15763377,-8.578295494
T217,41.16495266,-8.638710447
T218,41.14537311,-8.613296834
T219,41.15025294,-8.643093288
T220,41.23265532,-8.624817729
T221,41.14815726,-8.623962728
T222,41.14445321,-8.606085812
T223,41.16207512,-8.65193717
T224,41.180598,-8.582589
T225,41.14929974,-8.640779201
T226,41.15951227,-8.639701408
T227,41.14825847,-8.608129834
T228,41.15941815,-8.592838152
T229,41.23688162,-8.669353391
T230,41.153481,-8.608734
T231,41.1536245,-8.608152097
T232,41.14707028,-8.607835227
T233,41.16053071,-8.609869641
T234,41.15270422,-8.625293877
T235,41.14712348,-8.659330534
T236,41.14815126,-8.612190911
T237,41.15957248,-8.604476283
T238,41.12067269,-8.585136265
T239,41.17342365,-8.647574414
T240,41.15462893,-8.673718032
T241,41.14350918,-8.612048299
T242,41.15943254,-8.601087264
T243,41.16424499,-8.622978757
T244,41.18025501,-8.668010427
T245,41.17073383,-8.612835471
